,1225,Sylius\\Component\\Core\\Model\\Product,Nexcare Antibacterial Para Manos con Aloe Vera por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:263;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1226,Sylius\\Component\\Core\\Model\\Product,Nexcare Corto Blanco Rollo 12 mm por 3 Mtrs,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:84;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1227,Sylius\\Component\\Core\\Model\\Product,Nexcare Corto Blanco Rollo 24 mm por 3 Mtrs,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:140;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1228,Sylius\\Component\\Core\\Model\\Product,Nexcare Corto Piel Rollo 12 mm por 3 Mtrs,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:95;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1229,Sylius\\Component\\Core\\Model\\Product,Nexcare Corto Piel Rollo 24 mm por 3 Mtrs,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:146;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1230,Sylius\\Component\\Core\\Model\\Product,Parche Ocular Grande Caja por 20 Unidades,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:1392;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1231,Sylius\\Component\\Core\\Model\\Product,Parche Ocular Grande Sobre por 5 Unid,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:388;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1232,Sylius\\Component\\Core\\Model\\Product,Parche Ocular Pequeño Caja por 20 Unidades,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:1176;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1233,Sylius\\Component\\Core\\Model\\Product,Parche Ocular Pequeño Sobre por 5 Unid,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:336;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1234,Sylius\\Component\\Core\\Model\\Product,Steri-Strip por 30 Tiras de 6.35 mm por 101 mm cada uno,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:1264;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1235,Sylius\\Component\\Core\\Model\\Product,Steri-Strip 6 mm por 75 mm por 9 Tiras,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:412;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1236,Sylius\\Component\\Core\\Model\\Product,Tegaderm por 5 Parches de 5 cm por 7 cm cada uno ,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:540;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1237,Sylius\\Component\\Core\\Model\\Product,Transpore 12.5 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:395;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1238,Sylius\\Component\\Core\\Model\\Product,Transpore 1 25 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:609;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1239,Sylius\\Component\\Core\\Model\\Product,Transpore 2 50 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:1036;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1240,Sylius\\Component\\Core\\Model\\Product,Transpore Caja por 4 Rolllos de 3 Pulg cada uno,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:4846;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1241,Sylius\\Component\\Core\\Model\\Product,Transpore Caja por 12 Rollos de 1 Pulg cada uno,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:4846;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1242,Sylius\\Component\\Core\\Model\\Product,Muñequera Futuro Ajustable Beige ,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:855;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1243,Sylius\\Component\\Core\\Model\\Product,Muñequera Futuro Ferula Reversible Talla Medium ,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:2968;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1244,Sylius\\Component\\Core\\Model\\Product,Venda Para Inmovilizacion 3M 4 por 4 Yrds.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:3123;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1245,Sylius\\Component\\Core\\Model\\Product,Actos 15 mg por 15 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2353;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1246,Sylius\\Component\\Core\\Model\\Product,Actos 30 mg por 15 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:3622;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1247,Sylius\\Component\\Core\\Model\\Product,Actos Met 15 mg/500 mg por 30 Tab Recub,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:4941;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1248,Sylius\\Component\\Core\\Model\\Product,Actos Met 15 mg/850 mg por 30 Tab Recub,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:5618;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1249,Sylius\\Component\\Core\\Model\\Product,Betaserc 16 mg por 20 Tabletas ,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1614;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1250,Sylius\\Component\\Core\\Model\\Product,Betaserc 24 mg por 20 Comp.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2491;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1251,Sylius\\Component\\Core\\Model\\Product,Blopress 8 mg por 30 Compr.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:3096;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1252,Sylius\\Component\\Core\\Model\\Product,Blopress 16 mg por 30 Compri.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:4459;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1253,Sylius\\Component\\Core\\Model\\Product,Blopress Plus 16 mg por 30 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:4978;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1254,Sylius\\Component\\Core\\Model\\Product,Controlip 160 mg por 30 Capsulas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2438;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1255,Sylius\\Component\\Core\\Model\\Product,Creon 10.000 por 20 Capsulas ,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1278;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1256,Sylius\\Component\\Core\\Model\\Product,Creon 25.000 por 20 Capsulas ,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:3560;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1257,Sylius\\Component\\Core\\Model\\Product,Dayamineral 500 por 30 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:463;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1258,Sylius\\Component\\Core\\Model\\Product,Dayamineral E Jarabe por 240 ml.,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:505;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1259,Sylius\\Component\\Core\\Model\\Product,Dicetel 100 mg por 10 Comp.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:955;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1260,Sylius\\Component\\Core\\Model\\Product,Duphalac Jarabe por 200ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1308;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1261,Sylius\\Component\\Core\\Model\\Product,Duphaston 10 mg por 20 Tabletas ,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1685;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1262,Sylius\\Component\\Core\\Model\\Product,Duspatalin Retard 200 mg por 30 Capsulas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1639;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1263,Sylius\\Component\\Core\\Model\\Product,Hytrin 2 mg por 14 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:714;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1264,Sylius\\Component\\Core\\Model\\Product,Hytrin 5 mg por 21 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2443;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1265,Sylius\\Component\\Core\\Model\\Product,Iruxol Simplex Unguento Topico por 30 Grs.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Dermatologia";}s:5:"price";i:2629;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1266,Sylius\\Component\\Core\\Model\\Product,Iruxol Unguento por 15 Gr ,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Dermatologia";}s:5:"price";i:1418;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1267,Sylius\\Component\\Core\\Model\\Product,Klaricid 500 mg por 10 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:3424;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1268,Sylius\\Component\\Core\\Model\\Product,Klaricid Susp. 125 mg por 50 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1269,Sylius\\Component\\Core\\Model\\Product,Klaricid Susp. 250 mg por 60 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:2412;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1270,Sylius\\Component\\Core\\Model\\Product,Klaricid U.D. 500 mg por 10 Comp.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:3301;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1271,Sylius\\Component\\Core\\Model\\Product,Luvox 100 mg por 15 Tabletas ,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2260;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1272,Sylius\\Component\\Core\\Model\\Product,Ogastro 15 mg por 14 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1716;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1273,Sylius\\Component\\Core\\Model\\Product,Ogastro 30 mg por 14 Capsulas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2663;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1274,Sylius\\Component\\Core\\Model\\Product,Tarka Sr 180 mg/2 mg por 14 Tabletas Lib. Sosten,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1666;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1275,Sylius\\Component\\Core\\Model\\Product,Valcote 250 mg por 30 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1240;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1276,Sylius\\Component\\Core\\Model\\Product,Valcote 500 mg por 30 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2432;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1277,Sylius\\Component\\Core\\Model\\Product,Valcote Er 250 mg por 30 Tabletas Recub.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1530;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1278,Sylius\\Component\\Core\\Model\\Product,Valcote Er 500 mg por 30 Tabletas Recub.,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:2916;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1279,Sylius\\Component\\Core\\Model\\Product,Valcote Jarabe 250 mg por 120 ml.,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1015;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1280,Sylius\\Component\\Core\\Model\\Product,Ensure Polvo Fresa por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:950;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1281,Sylius\\Component\\Core\\Model\\Product,Ensure Polvo Vainilla por 400 Gr,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:950;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1282,Sylius\\Component\\Core\\Model\\Product,Gain Plus 3 Eye Q Vainilla por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:1350;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1283,Sylius\\Component\\Core\\Model\\Product,Gain Plus 3 Eye Q Vainilla por 900 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:2728;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1284,Sylius\\Component\\Core\\Model\\Product,Pedialyte 30 mas Zinc Cereza por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1285,Sylius\\Component\\Core\\Model\\Product,Pedialyte 30 mas Zinc Coco por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1286,Sylius\\Component\\Core\\Model\\Product,Pedialyte 30 mas Zinc Manzana por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1287,Sylius\\Component\\Core\\Model\\Product,Pedialyte 45 mas Zinc Fresa por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1288,Sylius\\Component\\Core\\Model\\Product,Pedialyte 45 mas Zinc Manzana por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1289,Sylius\\Component\\Core\\Model\\Product,Pedialyte 45 Cereza por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:290;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1290,Sylius\\Component\\Core\\Model\\Product,Pedialyte 60 mas Zinc Manzana por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1291,Sylius\\Component\\Core\\Model\\Product,Pedialyte 60 mas Zinc Uva por 500 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:307;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1292,Sylius\\Component\\Core\\Model\\Product,Pediasure Polvo Chocolate por 900 Grs.,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:2065;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1293,Sylius\\Component\\Core\\Model\\Product,Pediasure Polvo Vainilla por 900 Grs.,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:2065;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1294,Sylius\\Component\\Core\\Model\\Product,Similac Neosure Eye Q 0-12 Meses por 370 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1734;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1295,Sylius\\Component\\Core\\Model\\Product,Similac Plus 1 Eye Q por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1960;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1296,Sylius\\Component\\Core\\Model\\Product,Similac Plus 1 Eye Q por 900 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:4191;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1297,Sylius\\Component\\Core\\Model\\Product,Similac Plus 2 Eye Q por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1780;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1298,Sylius\\Component\\Core\\Model\\Product,Similac Plus 2 Eye Q por 900 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:3802;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1299,Sylius\\Component\\Core\\Model\\Product,Similac Sensitive Eye Q S/Lactosa por 375 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1659;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1300,Sylius\\Component\\Core\\Model\\Product,Similac Total Comfort 1 Eye Q 0-12 Meses por 360 Grs ,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:2188;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1301,Sylius\\Component\\Core\\Model\\Product,Similac Total Comfort 2 Eye Q 1-3 Años por 360 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:2078;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1302,Sylius\\Component\\Core\\Model\\Product,Ensure Advance Vainilla por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:2181;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1303,Sylius\\Component\\Core\\Model\\Product,Ensure Complemento Nutricional Polvo Chocolate por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:1947;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1304,Sylius\\Component\\Core\\Model\\Product,Ensure Complemento Nutricional Polvo Fresa por 400 Gr,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:1947;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1305,Sylius\\Component\\Core\\Model\\Product,Ensure Complemento Nutricional Polvo Fresa por 900 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:4162;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1306,Sylius\\Component\\Core\\Model\\Product,Ensure Complemento Nutricional Polvo Vainilla por 400 Gr,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:1947;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1307,Sylius\\Component\\Core\\Model\\Product,Ensure Complemento Nutricional Polvo Vainilla por 900 Gr,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:4162;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1308,Sylius\\Component\\Core\\Model\\Product,Glucerna Triple Care Polvo Vainilla por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:9:"Vitaminas";}s:5:"price";i:2330;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1309,Sylius\\Component\\Core\\Model\\Product,Isomil Plus 1 Eye Q por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1857;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1310,Sylius\\Component\\Core\\Model\\Product,Isomil Plus 1 Eye Q por 900 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:4007;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1311,Sylius\\Component\\Core\\Model\\Product,Isomil Plus 2 Eye Q por 900 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:3791;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1312,Sylius\\Component\\Core\\Model\\Product,Pediasure Plus Liquido Chocolate por 8 Onz,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:400;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1313,Sylius\\Component\\Core\\Model\\Product,Pediasure Plus Liquido Fresa por 8 Onz,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:400;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1314,Sylius\\Component\\Core\\Model\\Product,Pediasure Plus Liquido Vainilla por 8 Onz,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:400;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1315,Sylius\\Component\\Core\\Model\\Product,Pediasure Plus Polvo Chocolate por 400 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:1747;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
