;1225;Nexcare Antibacterial Para Manos con Aloe Vera por 75 ml;nexcare-antibacterial-para-manos-con-aloe-vera-por-75-ml;Nexcare Antibacterial Para Manos con Aloe Vera por 75 ml;\N;\N;Nexcare Antibacterial Para Manos con Aloe Vera por 75 ml;es_EC;~
;1226;Nexcare Corto Blanco Rollo 12 mm por 3 Mtrs;nexcare-corto-blanco-rollo-12-mm-por-3-mtrs;Nexcare Corto Blanco Rollo 12 mm por 3 Mtrs;\N;\N;Nexcare Corto Blanco Rollo 12 mm por 3 Mtrs;es_EC;~
;1227;Nexcare Corto Blanco Rollo 24 mm por 3 Mtrs;nexcare-corto-blanco-rollo-24-mm-por-3-mtrs;Nexcare Corto Blanco Rollo 24 mm por 3 Mtrs;\N;\N;Nexcare Corto Blanco Rollo 24 mm por 3 Mtrs;es_EC;~
;1228;Nexcare Corto Piel Rollo 12 mm por 3 Mtrs;nexcare-corto-piel-rollo-12-mm-por-3-mtrs;Nexcare Corto Piel Rollo 12 mm por 3 Mtrs;\N;\N;Nexcare Corto Piel Rollo 12 mm por 3 Mtrs;es_EC;~
;1229;Nexcare Corto Piel Rollo 24 mm por 3 Mtrs;nexcare-corto-piel-rollo-24-mm-por-3-mtrs;Nexcare Corto Piel Rollo 24 mm por 3 Mtrs;\N;\N;Nexcare Corto Piel Rollo 24 mm por 3 Mtrs;es_EC;~
;1230;Parche Ocular Grande Caja por 20 Unidades;parche-ocular-grande-caja-por-20-unidades;Parche Ocular Grande Caja por 20 Unidades;\N;\N;Parche Ocular Grande Caja por 20 Unidades;es_EC;~
;1231;Parche Ocular Grande Sobre por 5 Unid;parche-ocular-grande-sobre-por-5-unid;Parche Ocular Grande Sobre por 5 Unid;\N;\N;Parche Ocular Grande Sobre por 5 Unid;es_EC;~
;1232;Parche Ocular Pequeño Caja por 20 Unidades;parche-ocular-pequeno-caja-por-20-unidades;Parche Ocular Pequeño Caja por 20 Unidades;\N;\N;Parche Ocular Pequeño Caja por 20 Unidades;es_EC;~
;1233;Parche Ocular Pequeño Sobre por 5 Unid;parche-ocular-pequeno-sobre-por-5-unid;Parche Ocular Pequeño Sobre por 5 Unid;\N;\N;Parche Ocular Pequeño Sobre por 5 Unid;es_EC;~
;1234;Steri-Strip por 30 Tiras de 6.35 mm por 101 mm cada uno;steri-strip-por-30-tiras-de-6.35-mm-por-101-mm-cada-uno;Steri-Strip por 30 Tiras de 6.35 mm por 101 mm cada uno;\N;\N;Steri-Strip por 30 Tiras de 6.35 mm por 101 mm cada uno;es_EC;~
;1235;Steri-Strip 6 mm por 75 mm por 9 Tiras;steri-strip-6-mm-por-75-mm-por-9-tiras;Steri-Strip 6 mm por 75 mm por 9 Tiras;\N;\N;Steri-Strip 6 mm por 75 mm por 9 Tiras;es_EC;~
;1236;Tegaderm por 5 Parches de 5 cm por 7 cm cada uno ;tegaderm-por-5-parches-de-5-cm-por-7-cm-cada-uno-;Tegaderm por 5 Parches de 5 cm por 7 cm cada uno ;\N;\N;Tegaderm por 5 Parches de 5 cm por 7 cm cada uno ;es_EC;~
;1237;Transpore 12.5 mm por 9.1 Mt.;transpore-12.5-mm-por-9.1-mt.;Transpore 12.5 mm por 9.1 Mt.;\N;\N;Transpore 12.5 mm por 9.1 Mt.;es_EC;~
;1238;Transpore 1 25 mm por 9.1 Mt.;transpore-1-25-mm-por-9.1-mt.;Transpore 1 25 mm por 9.1 Mt.;\N;\N;Transpore 1 25 mm por 9.1 Mt.;es_EC;~
;1239;Transpore 2 50 mm por 9.1 Mt.;transpore-2-50-mm-por-9.1-mt.;Transpore 2 50 mm por 9.1 Mt.;\N;\N;Transpore 2 50 mm por 9.1 Mt.;es_EC;~
;1240;Transpore Caja por 4 Rolllos de 3 Pulg cada uno;transpore-caja-por-4-rolllos-de-3-pulg-cada-uno;Transpore Caja por 4 Rolllos de 3 Pulg cada uno;\N;\N;Transpore Caja por 4 Rolllos de 3 Pulg cada uno;es_EC;~
;1241;Transpore Caja por 12 Rollos de 1 Pulg cada uno;transpore-caja-por-12-rollos-de-1-pulg-cada-uno;Transpore Caja por 12 Rollos de 1 Pulg cada uno;\N;\N;Transpore Caja por 12 Rollos de 1 Pulg cada uno;es_EC;~
;1242;Muñequera Futuro Ajustable Beige ;munequera-futuro-ajustable-beige-;Muñequera Futuro Ajustable Beige ;\N;\N;Muñequera Futuro Ajustable Beige ;es_EC;~
;1243;Muñequera Futuro Ferula Reversible Talla Medium ;munequera-futuro-ferula-reversible-talla-medium-;Muñequera Futuro Ferula Reversible Talla Medium ;\N;\N;Muñequera Futuro Ferula Reversible Talla Medium ;es_EC;~
;1244;Venda Para Inmovilizacion 3M 4 por 4 Yrds.;venda-para-inmovilizacion-3m-4-por-4-yrds.;Venda Para Inmovilizacion 3M 4 por 4 Yrds.;\N;\N;Venda Para Inmovilizacion 3M 4 por 4 Yrds.;es_EC;~
;1245;Actos 15 mg por 15 Tabletas;actos-15-mg-por-15-tabletas;Actos 15 mg por 15 Tabletas;\N;\N;Actos 15 mg por 15 Tabletas;es_EC;~
;1246;Actos 30 mg por 15 Tabletas;actos-30-mg-por-15-tabletas;Actos 30 mg por 15 Tabletas;\N;\N;Actos 30 mg por 15 Tabletas;es_EC;~
;1247;Actos Met 15 mg/500 mg por 30 Tab Recub;actos-met-15-mg/500-mg-por-30-tab-recub;Actos Met 15 mg/500 mg por 30 Tab Recub;\N;\N;Actos Met 15 mg/500 mg por 30 Tab Recub;es_EC;~
;1248;Actos Met 15 mg/850 mg por 30 Tab Recub;actos-met-15-mg/850-mg-por-30-tab-recub;Actos Met 15 mg/850 mg por 30 Tab Recub;\N;\N;Actos Met 15 mg/850 mg por 30 Tab Recub;es_EC;~
;1249;Betaserc 16 mg por 20 Tabletas ;betaserc-16-mg-por-20-tabletas-;Betaserc 16 mg por 20 Tabletas ;\N;\N;Betaserc 16 mg por 20 Tabletas ;es_EC;~
;1250;Betaserc 24 mg por 20 Comp.;betaserc-24-mg-por-20-comp.;Betaserc 24 mg por 20 Comp.;\N;\N;Betaserc 24 mg por 20 Comp.;es_EC;~
;1251;Blopress 8 mg por 30 Compr.;blopress-8-mg-por-30-compr.;Blopress 8 mg por 30 Compr.;\N;\N;Blopress 8 mg por 30 Compr.;es_EC;~
;1252;Blopress 16 mg por 30 Compri.;blopress-16-mg-por-30-compri.;Blopress 16 mg por 30 Compri.;\N;\N;Blopress 16 mg por 30 Compri.;es_EC;~
;1253;Blopress Plus 16 mg por 30 Tabletas;blopress-plus-16-mg-por-30-tabletas;Blopress Plus 16 mg por 30 Tabletas;\N;\N;Blopress Plus 16 mg por 30 Tabletas;es_EC;~
;1254;Controlip 160 mg por 30 Capsulas;controlip-160-mg-por-30-capsulas;Controlip 160 mg por 30 Capsulas;\N;\N;Controlip 160 mg por 30 Capsulas;es_EC;~
;1255;Creon 10.000 por 20 Capsulas ;creon-10.000-por-20-capsulas-;Creon 10.000 por 20 Capsulas ;\N;\N;Creon 10.000 por 20 Capsulas ;es_EC;~
;1256;Creon 25.000 por 20 Capsulas ;creon-25.000-por-20-capsulas-;Creon 25.000 por 20 Capsulas ;\N;\N;Creon 25.000 por 20 Capsulas ;es_EC;~
;1257;Dayamineral 500 por 30 Tabletas;dayamineral-500-por-30-tabletas;Dayamineral 500 por 30 Tabletas;\N;\N;Dayamineral 500 por 30 Tabletas;es_EC;~
;1258;Dayamineral E Jarabe por 240 ml.;dayamineral-e-jarabe-por-240-ml.;Dayamineral E Jarabe por 240 ml.;\N;\N;Dayamineral E Jarabe por 240 ml.;es_EC;~
;1259;Dicetel 100 mg por 10 Comp.;dicetel-100-mg-por-10-comp.;Dicetel 100 mg por 10 Comp.;\N;\N;Dicetel 100 mg por 10 Comp.;es_EC;~
;1260;Duphalac Jarabe por 200ml;duphalac-jarabe-por-200ml;Duphalac Jarabe por 200ml;\N;\N;Duphalac Jarabe por 200ml;es_EC;~
;1261;Duphaston 10 mg por 20 Tabletas ;duphaston-10-mg-por-20-tabletas-;Duphaston 10 mg por 20 Tabletas ;\N;\N;Duphaston 10 mg por 20 Tabletas ;es_EC;~
;1262;Duspatalin Retard 200 mg por 30 Capsulas;duspatalin-retard-200-mg-por-30-capsulas;Duspatalin Retard 200 mg por 30 Capsulas;\N;\N;Duspatalin Retard 200 mg por 30 Capsulas;es_EC;~
;1263;Hytrin 2 mg por 14 Tabletas;hytrin-2-mg-por-14-tabletas;Hytrin 2 mg por 14 Tabletas;\N;\N;Hytrin 2 mg por 14 Tabletas;es_EC;~
;1264;Hytrin 5 mg por 21 Tabletas;hytrin-5-mg-por-21-tabletas;Hytrin 5 mg por 21 Tabletas;\N;\N;Hytrin 5 mg por 21 Tabletas;es_EC;~
;1265;Iruxol Simplex Unguento Topico por 30 Grs.;iruxol-simplex-unguento-topico-por-30-grs.;Iruxol Simplex Unguento Topico por 30 Grs.;\N;\N;Iruxol Simplex Unguento Topico por 30 Grs.;es_EC;~
;1266;Iruxol Unguento por 15 Gr ;iruxol-unguento-por-15-gr-;Iruxol Unguento por 15 Gr ;\N;\N;Iruxol Unguento por 15 Gr ;es_EC;~
;1267;Klaricid 500 mg por 10 Tabletas;klaricid-500-mg-por-10-tabletas;Klaricid 500 mg por 10 Tabletas;\N;\N;Klaricid 500 mg por 10 Tabletas;es_EC;~
;1268;Klaricid Susp. 125 mg por 50 ml;klaricid-susp.-125-mg-por-50-ml;Klaricid Susp. 125 mg por 50 ml;\N;\N;Klaricid Susp. 125 mg por 50 ml;es_EC;~
;1269;Klaricid Susp. 250 mg por 60 ml;klaricid-susp.-250-mg-por-60-ml;Klaricid Susp. 250 mg por 60 ml;\N;\N;Klaricid Susp. 250 mg por 60 ml;es_EC;~
;1270;Klaricid U.D. 500 mg por 10 Comp.;klaricid-u.d.-500-mg-por-10-comp.;Klaricid U.D. 500 mg por 10 Comp.;\N;\N;Klaricid U.D. 500 mg por 10 Comp.;es_EC;~
;1271;Luvox 100 mg por 15 Tabletas ;luvox-100-mg-por-15-tabletas-;Luvox 100 mg por 15 Tabletas ;\N;\N;Luvox 100 mg por 15 Tabletas ;es_EC;~
;1272;Ogastro 15 mg por 14 Tabletas;ogastro-15-mg-por-14-tabletas;Ogastro 15 mg por 14 Tabletas;\N;\N;Ogastro 15 mg por 14 Tabletas;es_EC;~
;1273;Ogastro 30 mg por 14 Capsulas;ogastro-30-mg-por-14-capsulas;Ogastro 30 mg por 14 Capsulas;\N;\N;Ogastro 30 mg por 14 Capsulas;es_EC;~
;1274;Tarka Sr 180 mg/2 mg por 14 Tabletas Lib. Sosten;tarka-sr-180-mg/2-mg-por-14-tabletas-lib.-sosten;Tarka Sr 180 mg/2 mg por 14 Tabletas Lib. Sosten;\N;\N;Tarka Sr 180 mg/2 mg por 14 Tabletas Lib. Sosten;es_EC;~
;1275;Valcote 250 mg por 30 Tabletas;valcote-250-mg-por-30-tabletas;Valcote 250 mg por 30 Tabletas;\N;\N;Valcote 250 mg por 30 Tabletas;es_EC;~
;1276;Valcote 500 mg por 30 Tabletas;valcote-500-mg-por-30-tabletas;Valcote 500 mg por 30 Tabletas;\N;\N;Valcote 500 mg por 30 Tabletas;es_EC;~
;1277;Valcote Er 250 mg por 30 Tabletas Recub.;valcote-er-250-mg-por-30-tabletas-recub.;Valcote Er 250 mg por 30 Tabletas Recub.;\N;\N;Valcote Er 250 mg por 30 Tabletas Recub.;es_EC;~
;1278;Valcote Er 500 mg por 30 Tabletas Recub.;valcote-er-500-mg-por-30-tabletas-recub.;Valcote Er 500 mg por 30 Tabletas Recub.;\N;\N;Valcote Er 500 mg por 30 Tabletas Recub.;es_EC;~
;1279;Valcote Jarabe 250 mg por 120 ml.;valcote-jarabe-250-mg-por-120-ml.;Valcote Jarabe 250 mg por 120 ml.;\N;\N;Valcote Jarabe 250 mg por 120 ml.;es_EC;~
;1280;Ensure Polvo Fresa por 400 Grs;ensure-polvo-fresa-por-400-grs;Ensure Polvo Fresa por 400 Grs;\N;\N;Ensure Polvo Fresa por 400 Grs;es_EC;~
;1281;Ensure Polvo Vainilla por 400 Gr;ensure-polvo-vainilla-por-400-gr;Ensure Polvo Vainilla por 400 Gr;\N;\N;Ensure Polvo Vainilla por 400 Gr;es_EC;~
;1282;Gain Plus 3 Eye Q Vainilla por 400 Grs;gain-plus-3-eye-q-vainilla-por-400-grs;Gain Plus 3 Eye Q Vainilla por 400 Grs;\N;\N;Gain Plus 3 Eye Q Vainilla por 400 Grs;es_EC;~
;1283;Gain Plus 3 Eye Q Vainilla por 900 Grs;gain-plus-3-eye-q-vainilla-por-900-grs;Gain Plus 3 Eye Q Vainilla por 900 Grs;\N;\N;Gain Plus 3 Eye Q Vainilla por 900 Grs;es_EC;~
;1284;Pedialyte 30 mas Zinc Cereza por 500 ml;pedialyte-30-mas-zinc-cereza-por-500-ml;Pedialyte 30 mas Zinc Cereza por 500 ml;\N;\N;Pedialyte 30 mas Zinc Cereza por 500 ml;es_EC;~
;1285;Pedialyte 30 mas Zinc Coco por 500 ml;pedialyte-30-mas-zinc-coco-por-500-ml;Pedialyte 30 mas Zinc Coco por 500 ml;\N;\N;Pedialyte 30 mas Zinc Coco por 500 ml;es_EC;~
;1286;Pedialyte 30 mas Zinc Manzana por 500 ml;pedialyte-30-mas-zinc-manzana-por-500-ml;Pedialyte 30 mas Zinc Manzana por 500 ml;\N;\N;Pedialyte 30 mas Zinc Manzana por 500 ml;es_EC;~
;1287;Pedialyte 45 mas Zinc Fresa por 500 ml;pedialyte-45-mas-zinc-fresa-por-500-ml;Pedialyte 45 mas Zinc Fresa por 500 ml;\N;\N;Pedialyte 45 mas Zinc Fresa por 500 ml;es_EC;~
;1288;Pedialyte 45 mas Zinc Manzana por 500 ml;pedialyte-45-mas-zinc-manzana-por-500-ml;Pedialyte 45 mas Zinc Manzana por 500 ml;\N;\N;Pedialyte 45 mas Zinc Manzana por 500 ml;es_EC;~
;1289;Pedialyte 45 Cereza por 500 ml;pedialyte-45-cereza-por-500-ml;Pedialyte 45 Cereza por 500 ml;\N;\N;Pedialyte 45 Cereza por 500 ml;es_EC;~
;1290;Pedialyte 60 mas Zinc Manzana por 500 ml;pedialyte-60-mas-zinc-manzana-por-500-ml;Pedialyte 60 mas Zinc Manzana por 500 ml;\N;\N;Pedialyte 60 mas Zinc Manzana por 500 ml;es_EC;~
;1291;Pedialyte 60 mas Zinc Uva por 500 ml;pedialyte-60-mas-zinc-uva-por-500-ml;Pedialyte 60 mas Zinc Uva por 500 ml;\N;\N;Pedialyte 60 mas Zinc Uva por 500 ml;es_EC;~
;1292;Pediasure Polvo Chocolate por 900 Grs.;pediasure-polvo-chocolate-por-900-grs.;Pediasure Polvo Chocolate por 900 Grs.;\N;\N;Pediasure Polvo Chocolate por 900 Grs.;es_EC;~
;1293;Pediasure Polvo Vainilla por 900 Grs.;pediasure-polvo-vainilla-por-900-grs.;Pediasure Polvo Vainilla por 900 Grs.;\N;\N;Pediasure Polvo Vainilla por 900 Grs.;es_EC;~
;1294;Similac Neosure Eye Q 0-12 Meses por 370 Grs;similac-neosure-eye-q-0-12-meses-por-370-grs;Similac Neosure Eye Q 0-12 Meses por 370 Grs;\N;\N;Similac Neosure Eye Q 0-12 Meses por 370 Grs;es_EC;~
;1295;Similac Plus 1 Eye Q por 400 Grs;similac-plus-1-eye-q-por-400-grs;Similac Plus 1 Eye Q por 400 Grs;\N;\N;Similac Plus 1 Eye Q por 400 Grs;es_EC;~
;1296;Similac Plus 1 Eye Q por 900 Grs;similac-plus-1-eye-q-por-900-grs;Similac Plus 1 Eye Q por 900 Grs;\N;\N;Similac Plus 1 Eye Q por 900 Grs;es_EC;~
;1297;Similac Plus 2 Eye Q por 400 Grs;similac-plus-2-eye-q-por-400-grs;Similac Plus 2 Eye Q por 400 Grs;\N;\N;Similac Plus 2 Eye Q por 400 Grs;es_EC;~
;1298;Similac Plus 2 Eye Q por 900 Grs;similac-plus-2-eye-q-por-900-grs;Similac Plus 2 Eye Q por 900 Grs;\N;\N;Similac Plus 2 Eye Q por 900 Grs;es_EC;~
;1299;Similac Sensitive Eye Q S/Lactosa por 375 Grs;similac-sensitive-eye-q-s/lactosa-por-375-grs;Similac Sensitive Eye Q S/Lactosa por 375 Grs;\N;\N;Similac Sensitive Eye Q S/Lactosa por 375 Grs;es_EC;~
;1300;Similac Total Comfort 1 Eye Q 0-12 Meses por 360 Grs ;similac-total-comfort-1-eye-q-0-12-meses-por-360-grs-;Similac Total Comfort 1 Eye Q 0-12 Meses por 360 Grs ;\N;\N;Similac Total Comfort 1 Eye Q 0-12 Meses por 360 Grs ;es_EC;~
;1301;Similac Total Comfort 2 Eye Q 1-3 Años por 360 Grs;similac-total-comfort-2-eye-q-1-3-anos-por-360-grs;Similac Total Comfort 2 Eye Q 1-3 Años por 360 Grs;\N;\N;Similac Total Comfort 2 Eye Q 1-3 Años por 360 Grs;es_EC;~
;1302;Ensure Advance Vainilla por 400 Grs;ensure-advance-vainilla-por-400-grs;Ensure Advance Vainilla por 400 Grs;\N;\N;Ensure Advance Vainilla por 400 Grs;es_EC;~
;1303;Ensure Complemento Nutricional Polvo Chocolate por 400 Grs;ensure-complemento-nutricional-polvo-chocolate-por-400-grs;Ensure Complemento Nutricional Polvo Chocolate por 400 Grs;\N;\N;Ensure Complemento Nutricional Polvo Chocolate por 400 Grs;es_EC;~
;1304;Ensure Complemento Nutricional Polvo Fresa por 400 Gr;ensure-complemento-nutricional-polvo-fresa-por-400-gr;Ensure Complemento Nutricional Polvo Fresa por 400 Gr;\N;\N;Ensure Complemento Nutricional Polvo Fresa por 400 Gr;es_EC;~
;1305;Ensure Complemento Nutricional Polvo Fresa por 900 Grs;ensure-complemento-nutricional-polvo-fresa-por-900-grs;Ensure Complemento Nutricional Polvo Fresa por 900 Grs;\N;\N;Ensure Complemento Nutricional Polvo Fresa por 900 Grs;es_EC;~
;1306;Ensure Complemento Nutricional Polvo Vainilla por 400 Gr;ensure-complemento-nutricional-polvo-vainilla-por-400-gr;Ensure Complemento Nutricional Polvo Vainilla por 400 Gr;\N;\N;Ensure Complemento Nutricional Polvo Vainilla por 400 Gr;es_EC;~
;1307;Ensure Complemento Nutricional Polvo Vainilla por 900 Gr;ensure-complemento-nutricional-polvo-vainilla-por-900-gr;Ensure Complemento Nutricional Polvo Vainilla por 900 Gr;\N;\N;Ensure Complemento Nutricional Polvo Vainilla por 900 Gr;es_EC;~
;1308;Glucerna Triple Care Polvo Vainilla por 400 Grs;glucerna-triple-care-polvo-vainilla-por-400-grs;Glucerna Triple Care Polvo Vainilla por 400 Grs;\N;\N;Glucerna Triple Care Polvo Vainilla por 400 Grs;es_EC;~
;1309;Isomil Plus 1 Eye Q por 400 Grs;isomil-plus-1-eye-q-por-400-grs;Isomil Plus 1 Eye Q por 400 Grs;\N;\N;Isomil Plus 1 Eye Q por 400 Grs;es_EC;~
;1310;Isomil Plus 1 Eye Q por 900 Grs;isomil-plus-1-eye-q-por-900-grs;Isomil Plus 1 Eye Q por 900 Grs;\N;\N;Isomil Plus 1 Eye Q por 900 Grs;es_EC;~
;1311;Isomil Plus 2 Eye Q por 900 Grs;isomil-plus-2-eye-q-por-900-grs;Isomil Plus 2 Eye Q por 900 Grs;\N;\N;Isomil Plus 2 Eye Q por 900 Grs;es_EC;~
;1312;Pediasure Plus Liquido Chocolate por 8 Onz;pediasure-plus-liquido-chocolate-por-8-onz;Pediasure Plus Liquido Chocolate por 8 Onz;\N;\N;Pediasure Plus Liquido Chocolate por 8 Onz;es_EC;~
;1313;Pediasure Plus Liquido Fresa por 8 Onz;pediasure-plus-liquido-fresa-por-8-onz;Pediasure Plus Liquido Fresa por 8 Onz;\N;\N;Pediasure Plus Liquido Fresa por 8 Onz;es_EC;~
;1314;Pediasure Plus Liquido Vainilla por 8 Onz;pediasure-plus-liquido-vainilla-por-8-onz;Pediasure Plus Liquido Vainilla por 8 Onz;\N;\N;Pediasure Plus Liquido Vainilla por 8 Onz;es_EC;~
;1315;Pediasure Plus Polvo Chocolate por 400 Grs;pediasure-plus-polvo-chocolate-por-400-grs;Pediasure Plus Polvo Chocolate por 400 Grs;\N;\N;Pediasure Plus Polvo Chocolate por 400 Grs;es_EC;~
;1316;Pediasure Plus Polvo Chocolate por 900 Grs;pediasure-plus-polvo-chocolate-por-900-grs;Pediasure Plus Polvo Chocolate por 900 Grs;\N;\N;Pediasure Plus Polvo Chocolate por 900 Grs;es_EC;~
;1317;Pediasure Plus Polvo Chocolate por 900 Grs mas Lapices de Colores;pediasure-plus-polvo-chocolate-por-900-grs-mas-lapices-de-colores;Pediasure Plus Polvo Chocolate por 900 Grs mas Lapices de Colores;\N;\N;Pediasure Plus Polvo Chocolate por 900 Grs mas Lapices de Colores;es_EC;~
;1318;Pediasure Plus Polvo Fresa por 400 Grs;pediasure-plus-polvo-fresa-por-400-grs;Pediasure Plus Polvo Fresa por 400 Grs;\N;\N;Pediasure Plus Polvo Fresa por 400 Grs;es_EC;~
;1319;Pediasure Plus Polvo Fresa por 900 Grs;pediasure-plus-polvo-fresa-por-900-grs;Pediasure Plus Polvo Fresa por 900 Grs;\N;\N;Pediasure Plus Polvo Fresa por 900 Grs;es_EC;~
;1320;Pediasure Plus Polvo Fresa por 900 Grs mas Lapices de Colores;pediasure-plus-polvo-fresa-por-900-grs-mas-lapices-de-colores;Pediasure Plus Polvo Fresa por 900 Grs mas Lapices de Colores;\N;\N;Pediasure Plus Polvo Fresa por 900 Grs mas Lapices de Colores;es_EC;~
;1321;Pediasure Plus Polvo Vainilla por 400 Grs;pediasure-plus-polvo-vainilla-por-400-grs;Pediasure Plus Polvo Vainilla por 400 Grs;\N;\N;Pediasure Plus Polvo Vainilla por 400 Grs;es_EC;~
;1322;Pediasure Plus Polvo Vainilla por 900 Grs;pediasure-plus-polvo-vainilla-por-900-grs;Pediasure Plus Polvo Vainilla por 900 Grs;\N;\N;Pediasure Plus Polvo Vainilla por 900 Grs;es_EC;~
;1323;Pediasure Plus Polvo Vainilla por 900 Grs mas Lapices de Colores;pediasure-plus-polvo-vainilla-por-900-grs-mas-lapices-de-colores;Pediasure Plus Polvo Vainilla por 900 Grs mas Lapices de Colores;\N;\N;Pediasure Plus Polvo Vainilla por 900 Grs mas Lapices de Colores;es_EC;~
;1324;Similac Mama Plus 1 Eye Q Vainilla por 400 Grs;similac-mama-plus-1-eye-q-vainilla-por-400-grs;Similac Mama Plus 1 Eye Q Vainilla por 400 Grs;\N;\N;Similac Mama Plus 1 Eye Q Vainilla por 400 Grs;es_EC;~
;1325;Aflazacort 30 mg por 10 Comp.;aflazacort-30-mg-por-10-comp.;Aflazacort 30 mg por 10 Comp.;\N;\N;Aflazacort 30 mg por 10 Comp.;es_EC;~
;1326;Aflazacort 6 mg por 10 Comp.;aflazacort-6-mg-por-10-comp.;Aflazacort 6 mg por 10 Comp.;\N;\N;Aflazacort 6 mg por 10 Comp.;es_EC;~
;1327;Anulette por 21 Comprimidos;anulette-por-21-comprimidos;Anulette por 21 Comprimidos;\N;\N;Anulette por 21 Comprimidos;es_EC;~
;1328;Anulette Cd por 28 Comprimidos;anulette-cd-por-28-comprimidos;Anulette Cd por 28 Comprimidos;\N;\N;Anulette Cd por 28 Comprimidos;es_EC;~
;1329;Arnela 200 mg por 3 Ovulos;arnela-200-mg-por-3-ovulos;Arnela 200 mg por 3 Ovulos;\N;\N;Arnela 200 mg por 3 Ovulos;es_EC;~
;1330;Dosin 10 mg por 20 Comprimidos;dosin-10-mg-por-20-comprimidos;Dosin 10 mg por 20 Comprimidos;\N;\N;Dosin 10 mg por 20 Comprimidos;es_EC;~
;1331;Dosin Gotas 10 mg por 20 ml;dosin-gotas-10-mg-por-20-ml;Dosin Gotas 10 mg por 20 ml;\N;\N;Dosin Gotas 10 mg por 20 ml;es_EC;~
;1332;Edromazol 20 mg por 30 Capsulas;edromazol-20-mg-por-30-capsulas;Edromazol 20 mg por 30 Capsulas;\N;\N;Edromazol 20 mg por 30 Capsulas;es_EC;~
;1333;Elcal D Forte por 30 Capsulas;elcal-d-forte-por-30-capsulas;Elcal D Forte por 30 Capsulas;\N;\N;Elcal D Forte por 30 Capsulas;es_EC;~
;1334;Elcal Forte por 30 Capsulas;elcal-forte-por-30-capsulas;Elcal Forte por 30 Capsulas;\N;\N;Elcal Forte por 30 Capsulas;es_EC;~
;1335;Elitos Et Jarabe por 120 ml;elitos-et-jarabe-por-120-ml;Elitos Et Jarabe por 120 ml;\N;\N;Elitos Et Jarabe por 120 ml;es_EC;~
;1336;Elitos Et Jarabe Forte por 120 ml;elitos-et-jarabe-forte-por-120-ml;Elitos Et Jarabe Forte por 120 ml;\N;\N;Elitos Et Jarabe Forte por 120 ml;es_EC;~
;1337;Famidal por 10 Ovulos Vaginales;famidal-por-10-ovulos-vaginales;Famidal por 10 Ovulos Vaginales;\N;\N;Famidal por 10 Ovulos Vaginales;es_EC;~
;1338;Famidal Crema Vaginal por 60 Grs;famidal-crema-vaginal-por-60-grs;Famidal Crema Vaginal por 60 Grs;\N;\N;Famidal Crema Vaginal por 60 Grs;es_EC;~
;1339;Gabapent 300 mg por 30 Capsulas;gabapent-300-mg-por-30-capsulas;Gabapent 300 mg por 30 Capsulas;\N;\N;Gabapent 300 mg por 30 Capsulas;es_EC;~
